iter	Passed	Remaining
142	22639	1560519
143	22816	1561642
144	22982	1561991
145	23144	1562108
146	23304	1562011
147	23458	1561555
148	23621	1561686
149	23796	1562655
150	23957	1562620
151	24127	1563213
152	24301	1564045
153	24472	1564630
154	24622	1563911
155	24774	1563360
156	24931	1563051
157	25077	1562128
158	25234	1561862
159	25390	1561526
160	25555	1561744
161	25705	1561077
162	25864	1560884
163	26012	1560121
164	26160	1559352
165	26308	1558525
166	26448	1557295
167	26598	1556624
168	26745	1555828
169	26891	1554960
170	27044	1554480
171	27194	1553909
172	27359	1554140
173	27507	1553395
174	27660	1552911
175	27818	1552769
176	27963	1551903
177	28122	1551795
178	28287	1551999
179	28432	1551156
180	28578	1550351
181	28728	1549746
182	28879	1549242
183	29028	1548615
184	29182	1548254
185	29331	1547619
186	29495	1547815
187	29635	1546729
188	29788	1546341
189	29933	1545509
190	30082	1544905
191	30236	1544598
192	30394	1544460
193	30544	1543918
194	30689	1543108
195	30840	1542647
196	30987	1541979
197	31137	1541485
198	31284	1540791
199	31428	1539973
200	31584	1539777
201	31753	1540209
202	31903	1539704
203	32045	1538810
204	32198	1538473
205	32366	1538805
206	32515	1538285
207	32655	1537315
208	32807	1536932
209	32950	1536127
210	33092	1535253
211	33236	1534541
212	33383	1533926
213	33542	1533843
214	33693	1533435
215	33846	1533127
216	33993	1532538
217	34140	1531918
218	34287	1531354
219	34432	1530685
220	34592	1530689
221	34736	1529965
222	34888	1529618
223	35037	1529156
224	35187	1528708
225	35333	1528084
226	35476	1527385
227	35625	1526878
228	35780	1526688
229	35924	1526001
230	36070	1525411
231	36215	1524780
232	36365	1524368
233	36504	1523504
234	36644	1522696
235	36793	1522272
236	36938	1521660
237	37106	1521977
238	37253	1521465
239	37397	1520822
240	37551	1520597
241	37704	1520322
242	37851	1519825
243	38020	1520206
244	38164	1519553
245	38308	1518943
246	38458	1518583
247	38604	1518035
248	38750	1517502
249	38913	1517643
250	39056	1516987
251	39202	1516457
252	39362	1516450
253	39508	1515925
254	39671	1516081
255	39825	1515876
256	39974	1515449
257	40120	1514949
258	40269	1514554
259	40425	1514393
260	40582	1514309
261	40735	1514067
262	40898	1514166
263	41052	1513948
264	41208	1513829
265	41417	1515626
266	41571	1515425
267	41729	1515338
268	41882	1515091
269	42043	1515112
270	42204	1515151
271	42354	1514795
272	42499	1514249
273	42650	1513948
274	42811	1513975
275	42960	1513591
276	43110	1513234
277	43261	1512907
278	43406	1512368
279	43549	1511799
280	43702	1511536
281	43850	1511128
282	44002	1510839
283	44159	1510736
284	44306	1510317
285	44458	1510018
286	44611	1509786
287	44768	1509683
288	44922	1509484
289	45068	1509019
290	45215	1508569
291	45359	1508035
292	45502	1507491
293	45651	1507126
294	45814	1507235
295	45975	1507235
296	46124	1506873
297	46273	1506532
298	46419	1506067
299	46562	1505535
300	46716	1505327
301	46866	1504997
302	47015	1504656
303	47176	1504690
304	47317	1504069
305	47471	1503879
306	47611	1503261
307	47772	1503285
308	47920	1502916
309	48102	1503576
310	48245	1503049
311	48395	1502751
312	48540	1502275
313	48699	1502251
314	48848	1501903
315	49012	1502025
316	49162	1501717
317	49303	1501110
318	49467	1501226
319	49617	1500926
320	49778	1500955
321	49932	1500755
322	50083	1500502
323	50234	1500221
324	50404	1500489
325	50550	1500079
326	50698	1499703
327	50858	1499697
328	51010	1499457
329	51164	1499261
330	51352	1500074
331	51537	1500801
332	51704	1500997
333	51877	1501341
334	52030	1501106
335	52176	1500703
336	52330	1500494
337	52483	1500292
338	52635	1500021
339	52791	1499904
340	52945	1499711
341	53091	1499283
342	53237	1498882
343	53390	1498653
344	53535	1498224
345	53688	1498013
346	53845	1497895
347	53994	1497573
348	54144	1497270
349	54317	1497624
350	54488	1497898
351	54635	1497515
352	54800	1497612
353	54944	1497161
354	55097	1496955
355	55247	1496652
356	55396	1496338
357	55548	1496088
358	55701	1495860
359	55875	1496229
360	56020	1495797
361	56171	1495515
362	56319	1495190
363	56466	1494819
364	56619	1494592
365	56768	1494291
366	56915	1493915
367	57064	1493609
368	57217	1493402
369	57365	1493059
370	57517	1492821
371	57663	1492419
372	57815	1492185
373	57970	1492038
374	58120	1491767
375	58277	1491651
376	58424	1491299
377	58570	1490923
378	58723	1490701
379	58882	1490645
380	59031	1490341
381	59183	1490124
382	59334	1489881
383	59486	1489638
384	59634	1489317
385	59791	1489220
386	59936	1488816
387	60088	1488584
388	60244	1488452
389	60390	1488092
390	60548	1487996
391	60700	1487786
392	60850	1487503
393	61001	1487249
394	61150	1486956
395	61310	1486931
396	61459	1486641
397	61630	1486882
398	61792	1486900
399	61949	1486785
400	62117	1486943
401	62285	1487106
402	62439	1486938
403	62592	1486737
404	62751	1486667
405	62911	1486636
406	63067	1486492
407	63214	1486161
408	63363	1485864
409	63517	1485683
410	63664	1485352
411	63811	1485007
412	63968	1484915
413	64114	1484547
414	64274	1484509
415	64428	1484338
416	64573	1483959
417	64731	1483858
418	64881	1483595
419	65029	1483291
420	65179	1483033
421	65344	1483094
422	65510	1483194
423	65664	1483022
424	65820	1482899
425	65983	1482927
426	66144	1482899
427	66301	1482808
428	66470	1482958
429	66617	1482620
430	66772	1482480
431	66928	1482346
432	67091	1482355
433	67242	1482117
434	67419	1482459
435	67571	1482226
436	67748	1482564
437	67890	1482114
438	68040	1481851
439	68194	1481683
440	68346	1481468
441	68513	1481566
442	68680	1481669
443	68851	1481848
444	69002	1481624
445	69153	1481378
446	69310	1481251
447	69473	1481275
448	69631	1481172
449	69786	1481019
450	69953	1481131
451	70119	1481205
452	70274	1481028
453	70445	1481213
454	70598	1481014
455	70751	1480823
456	70902	1480569
457	71055	1480370
458	71205	1480120
459	71354	1479826
460	71504	1479567
461	71648	1479177
462	71796	1478879
463	71952	1478743
464	72121	1478872
465	72284	1478893
466	72440	1478745
467	72596	1478611
468	72753	1478491
469	72899	1478149
470	73053	1477968
471	73201	1477679
472	73363	1477663
473	73512	1477374
474	73654	1476963
475	73811	1476855
476	73957	1476517
477	74106	1476230
478	74258	1476019
479	74416	1475921
480	74570	1475742
481	74724	1475573
482	74861	1475071
483	75009	1474773
484	75157	1474489
485	75308	1474254
486	75468	1474191
487	75623	1474030
488	75783	1473975
489	75931	1473700
490	76077	1473364
491	76220	1472984
492	76369	1472711
493	76522	1472514
494	76675	1472327
495	76833	1472219
496	76976	1471837
497	77122	1471529
498	77277	1471363
499	77422	1471027
500	77563	1470607
501	77718	1470453
502	77878	1470397
503	78039	1470367
504	78196	1470244
505	78360	1470272
506	78505	1469922
507	78655	1469677
508	78810	1469527
509	78961	1469299
510	79101	1468870
511	79244	1468504
512	79399	1468349
513	79547	1468072
514	79698	1467849
515	79849	1467615
516	79998	1467356
517	80150	1467164
518	80317	1467220
519	80459	1466845
520	80608	1466584
521	80756	1466302
522	80907	1466076
523	81052	1465745
524	81209	1465642
525	81351	1465248
526	81496	1464917
527	81641	1464591
528	81797	1464475
529	81947	1464227
530	82108	1464188
531	82253	1463864
532	82405	1463659
533	82547	1463294
534	82699	1463089
535	82854	1462943
536	83006	1462746
537	83168	1462706
538	83322	1462557
539	83475	1462371
540	83622	1462086
541	83770	1461815
542	83922	1461613
543	84075	1461435
544	84215	1461022
545	84360	1460695
546	84522	1460682
547	84668	1460385
548	84816	1460107
549	84960	1459773
550	85099	1459351
551	85244	1459031
552	85389	1458724
553	85535	1458432
554	85679	1458099
555	85823	1457765
556	85970	1457485
557	86116	1457195
558	86257	1456817
559	86410	1456631
560	86563	1456452
561	86710	1456184
562	86859	1455941
563	87007	1455684
564	87150	1455337
565	87296	1455052
566	87439	1454695
567	87583	1454383
568	87741	1454288
569	87891	1454059
570	88032	1453689
571	88182	1453474
572	88342	1453412
573	88488	1453117
574	88646	1453024
575	88792	1452737
576	88932	1452361
577	89077	1452049
578	89239	1452029
579	89386	1451766
580	89531	1451452
581	89676	1451164
582	89835	1451076
583	89980	1450788
584	90122	1450438
585	90263	1450072
586	90409	1449793
587	90566	1449673
588	90712	1449400
589	90863	1449198
590	91009	1448918
591	91156	1448650
592	91315	1448582
593	91456	1448212
594	91590	1447738
595	91734	1447428
596	91893	1447356
597	92037	1447046
598	92183	1446773
599	92339	1446650
600	92486	1446394
601	92639	1446222
602	92790	1446021
603	92933	1445693
604	93077	1445392
605	93221	1445091
606	93363	1444746
607	93501	1444345
608	93647	1444073
609	93789	1443743
610	93930	1443395
611	94080	1443187
612	94236	1443059
613	94377	1442712
614	94526	1442486
615	94665	1442119
616	94825	1442049
617	94964	1441677
618	95112	1441444
619	95258	1441173
620	95399	1440821
621	95550	1440624
622	95695	1440352
623	95845	1440140
624	95994	1439911
625	96149	1439779
626	96298	1439559
627	96430	1439084
628	96584	1438933
629	96730	1438676
630	96870	1438314
631	97016	1438061
632	97164	1437826
633	97307	1437514
634	97452	1437228
635	97601	1437015
636	97755	1436871
637	97903	1436628
638	98046	1436326
639	98188	1436001
640	98331	1435705
641	98485	1435561
642	98633	1435329
643	98781	1435090
644	98927	1434826
645	99084	1434734
646	99231	1434483
647	99369	1434115
648	99530	1434066
649	99671	1433742
650	99828	1433635
651	99970	1433324
652	100109	1432954
653	100256	1432724
654	100416	1432665
655	100561	1432387
656	100716	1432263
657	100854	1431892
658	100999	1431617
659	101156	1431517
660	101303	1431268
661	101440	1430899
662	101604	1430889
663	101747	1430600
664	101909	1430562
665	102047	1430194
666	102185	1429826
667	102330	1429566
668	102476	1429308
669	102624	1429089
670	102777	1428923
671	102930	1428778
672	103081	1428595
673	103231	1428387
674	103387	1428279
675	103538	1428097
676	103718	1428313
677	103880	1428284
678	104043	1428267
679	104203	1428198
680	104366	1428187
681	104517	1427994
682	104675	1427906
683	104854	1428102
684	105023	1428160
685	105189	1428184
686	105372	1428430
687	105542	1428502
688	105698	1428387
689	105872	1428515
690	106031	1428433
691	106184	1428267
692	106338	1428123
693	106487	1427909
694	106646	1427839
695	106797	1427653
696	106973	1427801
697	107144	1427875
698	107315	1427953
699	107473	1427867
700	107620	1427623
701	107789	1427677
702	107936	1427431
703	108077	1427115
704	108243	1427120
705	108394	1426941
706	108554	1426870
707	108700	1426613
708	108866	1426633
709	109020	1426484
710	109178	1426383
711	109322	1426104
712	109472	1425911
713	109628	1425784
714	109777	1425571
715	109931	1425424
716	110087	1425297
717	110240	1425141
718	110408	1425176
719	110561	1425015
720	110723	1424973
721	110877	1424819
722	111026	1424606
723	111189	1424572
724	111334	1424308
725	111493	1424235
726	111670	1424373
727	111826	1424250
728	111973	1424012
729	112122	1423801
730	112278	1423678
731	112436	1423579
732	112582	1423337
733	112748	1423335
734	112897	1423128
735	113057	1423050
736	113210	1422891
737	113371	1422827
738	113521	1422631
739	113678	1422517
740	113835	1422402
741	113987	1422228
742	114137	1422034
743	114286	1421825
744	114439	1421658
745	114588	1421451
746	114744	1421330
747	114899	1421186
748	115047	1420969
749	115201	1420815
750	115356	1420686
751	115507	1420492
752	115661	1420342
753	115808	1420113
754	115965	1420004
755	116122	1419891
756	116273	1419707
757	116425	1419527
758	116572	1419294
759	116749	1419422
760	116907	1419329
761	117050	1419043
762	117204	1418892
763	117351	1418661
764	117498	1418434
765	117646	1418210
766	117804	1418109
767	117968	1418078
768	118113	1417828
769	118263	1417627
770	118430	1417630
771	118579	1417424
772	118723	1417160
773	118887	1417130
774	119051	1417096
775	119205	1416950
776	119355	1416755
777	119519	1416716
778	119669	1416525
779	119825	1416403
780	119981	1416273
781	120127	1416029
782	120290	1415985
783	120447	1415873
784	120609	1415820
785	120769	1415737
786	120923	1415584
787	121081	1415483
788	121224	1415205
789	121370	1414961
790	121527	1414846
791	121682	1414709
792	121830	1414488
793	121976	1414245
794	122129	1414088
795	122289	1414009
796	122451	1413950
797	122610	1413862
798	122772	1413800
799	122923	1413615
800	123074	1413437
801	123223	1413228
802	123371	1413015
803	123520	1412805
804	123655	1412440
805	123807	1412269
806	123965	1412158
807	124113	1411945
808	124266	1411778
809	124415	1411575
810	124564	1411370
811	124725	1411303
812	124878	1411144
813	125035	1411023
814	125179	1410761
815	125325	1410522
816	125479	1410376
817	125639	1410295
818	125786	1410070
819	125931	1409817
820	126085	1409668
821	126256	1409713
822	126411	1409576
823	126559	1409356
824	126709	1409163
825	126858	1408959
826	127005	1408735
827	127164	1408644
828	127310	1408397
829	127464	1408256
830	127630	1408237
831	127784	1408088
832	127948	1408044
833	128099	1407865
834	128248	1407659
835	128395	1407436
836	128547	1407268
837	128700	1407105
838	128857	1406988
839	128994	1406654
840	129164	1406678
841	129308	1406420
842	129451	1406149
843	129607	1406028
844	129761	1405877
845	129906	1405626
846	130053	1405405
847	130202	1405207
848	130360	1405094
849	130501	1404814
850	130645	1404551
851	130796	1404376
852	130961	1404343
853	131113	1404174
854	131282	1404180
855	131429	1403963
856	131585	1403832
857	131747	1403766
858	131907	1403689
859	132070	1403638
860	132259	1403851
861	132421	1403785
862	132590	1403797
863	132746	1403668
864	132908	1403609
865	133062	1403453
866	133216	1403301
867	133370	1403152
868	133522	1402986
869	133678	1402859
870	133844	1402829
871	134011	1402820
872	134178	1402804
873	134341	1402749
874	134518	1402836
875	134679	1402760
876	134857	1402856
877	135025	1402847
878	135191	1402822
879	135347	1402697
880	135509	1402618
881	135679	1402632
882	135851	1402666
883	136009	1402563
884	136161	1402384
885	136318	1402267
886	136479	1402184
887	136634	1402040
888	136800	1402014
889	136965	1401969
890	137128	1401913
891	137281	1401745
892	137429	1401536
893	137595	1401505
894	137746	1401320
895	137897	1401136
896	138047	1400939
897	138212	1400900
898	138379	1400882
899	138550	1400904
900	138728	1400987
901	138901	1401023
902	139071	1401036
903	139247	1401096
904	139418	1401116
905	139588	1401121
906	139762	1401173
907	139943	1401279
908	140115	1401310
909	140298	1401441
910	140472	1401485
911	140641	1401479
912	140807	1401441
913	140970	1401375
914	141126	1401241
915	141289	1401169
916	141458	1401163
917	141607	1400961
918	141779	1400976
919	141943	1400918
920	142098	1400773
921	142257	1400667
922	142423	1400623
923	142576	1400454
924	142747	1400472
925	142925	1400549
926	143099	1400584
927	143281	1400697
928	143432	1400510
929	143610	1400586
930	143762	1400412
931	143922	1400311
932	144068	1400075
933	144213	1399830
934	144371	1399704
935	144517	1399473
936	144670	1399302
937	144834	1399239
938	144999	1399195
939	145166	1399162
940	145326	1399061
941	145477	1398868
942	145637	1398766
943	145795	1398649
944	145953	1398527
945	146106	1398362
946	146264	1398239
947	146429	1398189
948	146589	1398083
949	146747	1397965
950	146904	1397831
951	147051	1397603
952	147208	1397473
953	147366	1397352
954	147513	1397129
955	147670	1396999
956	147830	1396898
957	147982	1396718
958	148135	1396549
959	148292	1396419
960	148441	1396216
961	148607	1396167
962	148754	1395945
963	148919	1395885
964	149092	1395909
965	149270	1395968
966	149439	1395957
967	149587	1395741
968	149746	1395622
969	149907	1395531
970	150077	1395524
971	150241	1395448
972	150401	1395347
973	150545	1395097
974	150696	1394911
975	150864	1394881
976	151015	1394689
977	151165	1394494
978	151311	1394258
979	151469	1394139
980	151629	1394034
981	151815	1394165
982	151984	1394141
983	152162	1394207
984	152314	1394025
985	152468	1393868
986	152623	1393710
987	152781	1393594
988	152943	1393503
989	153088	1393256
990	153249	1393164
991	153403	1393004
992	153569	1392954
993	153719	1392757
994	153873	1392597
995	154031	1392470
996	154176	1392229
997	154329	1392055
998	154497	1392020
999	154655	1391901
1000	154842	1392037
1001	154996	1391876
1002	155162	1391819
1003	155318	1391677
1004	155491	1391684
1005	155650	1391574
1006	155806	1391430
1007	155957	1391237
1008	156131	1391258
1009	156296	1391193
1010	156471	1391214
1011	156623	1391041
1012	156784	1390944
1013	156951	1390891
1014	157106	1390736
1015	157277	1390726
1016	157438	1390633
1017	157599	1390527
1018	157756	1390389
1019	157920	1390317
1020	158073	1390152
1021	158252	1390203
1022	158425	1390214
1023	158584	1390087
1024	158736	1389907
1025	158910	1389929
1026	159071	1389820
1027	159229	1389698
1028	159384	1389538
1029	159544	1389434
1030	159694	1389235
1031	159845	1389045
1032	160010	1388981
1033	160173	1388890
1034	160329	1388745
1035	160477	1388531
1036	160625	1388316
1037	160785	1388208
1038	160948	1388121
1039	161091	1387867
1040	161246	1387711
1041	161395	1387501
1042	161540	1387264
1043	161692	1387089
1044	161852	1386977
1045	162005	1386805
1046	162158	1386637
1047	162303	1386390
1048	162455	1386210
1049	162603	1386000
1050	162756	1385834
1051	162910	1385670
1052	163068	1385538
1053	163220	1385358
1054	163379	1385243
1055	163545	1385184
1056	163701	1385032
1057	163864	1384948
1058	164014	1384755
1059	164174	1384645
1060	164333	1384517
1061	164480	1384301
1062	164639	1384180
1063	164799	1384071
1064	164955	1383923
1065	165102	1383702
1066	165258	1383558
1067	165407	1383349
1068	165548	1383077
1069	165693	1382843
1070	165845	1382662
1071	165986	1382398
1072	166143	1382257
1073	166304	1382153
1074	166452	1381945
1075	166613	1381842
1076	166765	1381662
1077	166940	1381670
1078	167093	1381502
1079	167241	1381288
1080	167396	1381133
1081	167553	1380999
1082	167715	1380901
1083	167873	1380771
1084	168029	1380627
1085	168177	1380419
1086	168329	1380242
1087	168480	1380056
1088	168641	1379948
1089	168796	1379794
1090	168947	1379608
1091	169104	1379468
1092	169248	1379230
1093	169409	1379125
1094	169562	1378956
1095	169715	1378779
1096	169860	1378549
1097	170003	1378300
1098	170155	1378120
1099	170307	1377939
1100	170469	1377844
1101	170635	1377782
1102	170797	1377681
1103	170968	1377662
1104	171119	1377474
1105	171266	1377257
1106	171414	1377042
1107	171557	1376798
1108	171709	1376615
1109	171861	1376440
1110	172014	1376268
1111	172160	1376045
1112	172308	1375837
1113	172460	1375658
1114	172613	1375493
1115	172777	1375410
1116	172928	1375223
1117	173087	1375099
1118	173245	1374968
1119	173397	1374795
1120	173551	1374633
1121	173702	1374451
1122	173855	1374281
1123	174005	1374082
1124	174152	1373869
1125	174315	1373775
1126	174466	1373591
1127	174611	1373364
1128	174767	1373215
1129	174936	1373174
1130	175084	1372967
1131	175233	1372767
1132	175385	1372589
1133	175541	1372443
1134	175687	1372220
1135	175841	1372056
1136	175994	1371887
1137	176151	1371749
1138	176297	1371527
1139	176446	1371330
1140	176604	1371203
1141	176761	1371062
1142	176921	1370948
1143	177067	1370723
1144	177219	1370551
1145	177379	1370435
1146	177526	1370218
1147	177686	1370101
1148	177839	1369933
1149	177984	1369708
1150	178145	1369597
1151	178295	1369407
1152	178455	1369295
1153	178634	1369322
1154	178787	1369159
1155	178950	1369064
1156	179109	1368945
1157	179277	1368888
1158	179431	1368729
1159	179603	1368699
1160	179757	1368540
1161	179928	1368509
1162	180078	1368318
1163	180249	1368282
1164	180434	1368363
1165	180629	1368510
1166	180816	1368595
1167	180993	1368606
1168	181169	1368610
1169	181333	1368522
1170	181490	1368384
1171	181657	1368322
1172	181838	1368361
1173	182005	1368297
1174	182185	1368333
1175	182361	1368334
1176	182533	1368305
1177	182710	1368309
1178	182897	1368393
1179	183068	1368359
1180	183227	1368232
1181	183385	1368100
1182	183545	1367983
1183	183707	1367874
1184	183882	1367872
1185	184060	1367884
1186	184219	1367753
1187	184370	1367571
1188	184533	1367474
1189	184688	1367314
1190	184843	1367155
1191	185006	1367060
1192	185171	1366979
1193	185328	1366833
1194	185489	1366724
1195	185658	1366668
1196	185831	1366648
1197	185984	1366477
1198	186136	1366291
1199	186296	1366171
1200	186456	1366055
1201	186608	1365873
1202	186771	1365779
1203	186923	1365596
1204	187088	1365510
1205	187249	1365398
1206	187413	1365311
1207	187587	1365286
1208	187778	1365390
1209	187956	1365402
1210	188134	1365411
1211	188321	1365489
1212	188505	1365540
1213	188677	1365502
1214	188851	1365485
1215	189025	1365457
1216	189182	1365313
1217	189336	1365151
1218	189490	1364988
1219	189659	1364925
1220	189835	1364918
1221	190021	1364979
1222	190220	1365138
1223	190424	1365328
1224	190598	1365307
1225	190785	1365376
1226	190952	1365300
1227	191111	1365170
1228	191269	1365034
1229	191442	1364999
1230	191613	1364957
1231	191776	1364852
1232	191923	1364635
1233	192075	1364452
1234	192240	1364360
1235	192407	1364288
1236	192565	1364144
1237	192727	1364037
1238	192893	1363956
1239	193052	1363823
1240	193202	1363625
1241	193365	1363521
1242	193515	1363329
1243	193670	1363169
1244	193816	1362944
1245	193994	1362942
1246	194166	1362900
1247	194340	1362875
1248	194504	1362779
1249	194662	1362635
1250	194824	1362524
1251	195010	1362583
1252	195170	1362451
1253	195332	1362344
1254	195492	1362215
1255	195647	1362053
1256	195803	1361899
1257	195961	1361760
1258	196122	1361643
1259	196288	1361555
1260	196450	1361445
1261	196607	1361295
1262	196771	1361199
1263	196922	1361008
1264	197077	1360846
1265	197232	1360683
1266	197389	1360538
1267	197539	1360340
1268	197687	1360134
1269	197840	1359961
1270	197991	1359766
1271	198137	1359544
1272	198291	1359379
1273	198446	1359220
1274	198597	1359032
1275	198754	1358880
1276	198901	1358668
1277	199058	1358516
1278	199209	1358328
1279	199356	1358117
1280	199510	1357946
1281	199670	1357819
1282	199838	1357752
1283	200000	1357635
1284	200145	1357408
1285	200290	1357180
1286	200440	1356985
